Date,AAPL
19/03/2008,17.400475
20/03/2008,17.883556
24/03/2008,18.723591
25/03/2008,18.918164
26/03/2008,19.465665
27/03/2008,18.820201
28/03/2008,19.190571
31/03/2008,19.256324
01/04/2008,20.065493
02/04/2008,19.791744
03/04/2008,20.344607
04/04/2008,20.541868
07/04/2008,20.918944
08/04/2008,20.509667
09/04/2008,20.321801
10/04/2008,20.739127
11/04/2008,19.744778
14/04/2008,19.83066
15/04/2008,19.911171
16/04/2008,20.625064
17/04/2008,20.731077
18/04/2008,21.610021
21/04/2008,22.565462
22/04/2008,21.4973
23/04/2008,21.858277
24/04/2008,22.670133
25/04/2008,22.776137
28/04/2008,23.112952
29/04/2008,23.490029
30/04/2008,23.342423
01/05/2008,24.154279
02/05/2008,24.280412
05/05/2008,24.788995
06/05/2008,25.047979
07/05/2008,24.501831
08/05/2008,24.833275
09/05/2008,24.617229
12/05/2008,25.249268
13/05/2008,25.490809
14/05/2008,24.994305
15/05/2008,25.459951
16/05/2008,25.176809
19/05/2008,24.63736
20/05/2008,24.945996
21/05/2008,23.911385
22/05/2008,23.758416
23/05/2008,24.311278
27/05/2008,25.017122
28/05/2008,25.094945
29/05/2008,25.052009
30/05/2008,25.328445
02/06/2008,24.972833
03/06/2008,24.874879
04/06/2008,24.850718
05/06/2008,25.419692
06/06/2008,24.911109
09/06/2008,24.370325
10/06/2008,24.911109
11/06/2008,24.262969
12/06/2008,23.249833
13/06/2008,23.130406
16/06/2008,23.730235
17/06/2008,24.346165
18/06/2008,23.986532
19/06/2008,24.275048
20/06/2008,23.519553
23/06/2008,23.23641
24/06/2008,23.248489
25/06/2008,23.80404
26/06/2008,22.578876
27/06/2008,22.824447
30/06/2008,22.468843
01/07/2008,23.440386
02/07/2008,22.568139
03/07/2008,22.828476
07/07/2008,23.504795
08/07/2008,24.093889
09/07/2008,23.382683
10/07/2008,23.702056
11/07/2008,23.158585
14/07/2008,23.333029
15/07/2008,22.764065
16/07/2008,23.189442
17/07/2008,23.05526
18/07/2008,22.161549
21/07/2008,22.314521
22/07/2008,21.741527
23/07/2008,22.3105
24/07/2008,21.340301
25/07/2008,21.75495
28/07/2008,20.718998
29/07/2008,21.078631
30/07/2008,21.454364
31/07/2008,21.329564
01/08/2008,21.02227
04/08/2008,20.561997
05/08/2008,21.556347
06/08/2008,22.03272
07/08/2008,21.949523
08/08/2008,22.751986
11/08/2008,23.290093
12/08/2008,23.71547
13/08/2008,24.060346
14/08/2008,24.063022
15/08/2008,23.582619
18/08/2008,23.535653
19/08/2008,23.286064
20/08/2008,23.596043
21/08/2008,23.388045
22/08/2008,23.72352
25/08/2008,23.154556
26/08/2008,23.300819
27/08/2008,23.439042
28/08/2008,23.314242
29/08/2008,22.7493
02/09/2008,22.301107
03/09/2008,22.404434
04/09/2008,21.634179
05/09/2008,21.494623
08/09/2008,21.19135
09/09/2008,20.354
10/09/2008,20.344607
11/09/2008,20.484164
12/09/2008,19.986317
15/09/2008,18.834968
16/09/2008,18.770558
17/09/2008,17.153563
18/09/2008,17.993589
19/09/2008,18.908771
22/09/2008,17.585655
23/09/2008,17.020713
24/09/2008,17.271646
25/09/2008,17.703738
26/09/2008,17.208578
29/09/2008,14.12488
30/09/2008,15.25208
01/10/2008,14.642856
02/10/2008,13.432461
03/10/2008,13.025861
06/10/2008,13.169448
07/10/2008,11.964414
08/10/2008,12.048955
09/10/2008,11.908055
10/10/2008,12.989631
13/10/2008,14.795836
14/10/2008,13.966537
15/10/2008,13.143954
16/10/2008,13.672657
17/10/2008,13.070151
20/10/2008,13.209707
21/10/2008,12.277081
22/10/2008,12.999024
23/10/2008,13.181527
24/10/2008,12.933271
27/10/2008,12.357591
28/10/2008,13.406967
29/10/2008,14.029604
30/10/2008,14.900506
31/10/2008,14.437547
03/11/2008,14.353006
04/11/2008,14.89379
05/11/2008,13.861867
