Date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
19/03/2008,17.400475,36.908495,61.077398,59.969324,21.842601,63.884423,32.967519,28.272361,27.006786,152.316179,21.984179,101.311242,16.615848,51.392363,35.72237,24.109781,42.503508,65.645066,31.842864,23.84088,27.788638,15.161948,53.885155,38.364202,32.75848,57.891721,13.418429,22.318548,42.863984,70.24469
20/03/2008,17.883556,40.406014,62.199996,60.042524,22.11039,64.914187,32.953018,28.869664,28.448565,164.337529,22.983459,102.515472,17.135831,51.78842,38.66629,24.544048,43.105494,64.414274,32.116923,24.307368,30.233569,15.147235,55.124812,39.504962,32.546541,58.102206,15.282759,22.947507,44.932058,70.718922
24/03/2008,18.723591,41.66266,63.439005,61.840057,22.886976,65.53829,33.830312,28.996366,28.38027,163.651379,23.966359,103.147905,17.435215,51.400286,39.154138,24.600341,44.174816,64.959455,32.776149,24.299038,31.047051,15.161948,55.6016,39.422296,32.905916,59.22198,14.185536,23.487528,45.269704,71.509308
25/03/2008,18.918164,41.750537,63.114701,62.33621,22.985165,65.951755,34.294337,29.032567,28.281622,164.337529,23.556818,102.203584,17.545516,51.13097,38.741991,24.692823,44.515415,65.24031,33.087244,24.274047,30.727951,15.287011,55.259901,39.48016,32.509681,59.070437,15.021516,23.443053,44.780118,70.885317
26/03/2008,19.465665,39.861175,63.447322,62.921833,22.119317,66.279406,33.95357,28.742964,28.175386,160.540823,23.065368,101.285253,17.222496,51.249782,37.101807,24.588279,44.04016,64.975979,33.109467,23.790898,29.784133,15.220801,55.339365,39.306567,31.422339,58.607368,15.190136,22.960212,44.653503,71.767228
27/03/2008,18.820201,39.395426,61.717695,62.653421,21.58374,65.842538,33.641804,28.399061,27.947737,153.825704,22.762308,100.081017,16.615848,51.186418,36.050406,24.652614,43.921348,64.315148,33.168722,23.366061,29.653799,15.125165,55.156599,39.23217,31.330192,58.438983,14.940768,22.845856,44.206122,71.717305
28/03/2008,19.190571,37.919086,61.094032,62.702221,21.494477,65.920549,33.670803,28.05516,27.780793,150.449843,22.426483,99.257985,16.379492,50.837886,35.924237,24.503837,43.94511,64.389488,32.968731,23.249439,29.599866,15.081025,55.180437,39.199104,31.698784,57.714915,14.905143,22.775971,43.995094,70.901961
31/03/2008,19.256324,38.419987,61.842429,63.678261,21.503403,66.591457,33.902816,28.399061,28.084324,151.30982,22.909742,99.751806,16.686755,51.384446,36.126107,24.47569,44.174816,65.380735,28.109715,23.640956,30.561659,15.397359,55.681064,39.554558,31.68956,57.942236,14.810146,23.157161,44.467797,70.369489
01/04/2008,20.065493,41.381453,63.098066,65.052848,22.297841,67.668027,34.620607,28.878714,29.161865,161.803344,24.154748,100.92138,17.309159,52.17656,39.532643,24.704886,45.077798,67.173231,28.383775,24.573933,31.267273,15.728405,56.531338,41.786477,33.43267,59.979726,14.632025,24.120152,45.649555,72.399534
02/04/2008,19.791744,40.994794,63.904671,63.857202,22.279988,68.268727,35.410899,28.561962,28.850745,161.812487,23.884451,99.465908,17.214617,51.732972,39.210413,24.31083,44.879775,66.834559,27.480115,24.290708,30.548176,15.824042,56.006873,41.282228,33.165208,59.929212,14.800646,24.228656,45.970315,73.647515
03/04/2008,20.344607,41.021156,63.314271,62.685956,21.628371,68.432552,35.584908,28.534813,28.714155,161.501436,23.933595,100.514193,17.277645,51.701287,39.24433,24.351041,44.547099,66.223288,28.413404,24.157425,30.966152,15.69898,55.998925,40.827579,33.340443,59.575599,15.555878,24.298861,46.367048,73.406244
04/04/2008,20.541868,40.520255,62.906813,63.304115,21.771191,68.689995,35.889425,28.272361,28.501683,160.467632,23.581391,100.288946,17.230375,52.065665,38.642267,24.22639,44.135213,66.5124,29.628158,24.290708,30.790872,15.706337,56.102227,40.753181,33.66324,60.392281,15.313635,23.832931,45.91967,73.830553
07/04/2008,20.918944,40.906915,62.349676,62.832362,21.369509,68.861617,35.519656,28.525763,28.274032,163.51414,23.343856,100.765436,17.135831,52.390429,38.616829,24.274641,44.079767,66.239813,30.205906,24.290708,30.035819,15.801972,56.030711,41.480622,33.820026,60.442795,15.446631,23.871225,45.77617,73.980311
08/04/2008,20.509667,40.836614,62.382932,63.108903,21.387361,69.649545,35.86042,28.11851,28.038796,163.669666,23.08175,100.730781,16.607969,52.533009,38.040205,24.330935,44.254024,65.983737,30.294792,23.949172,29.900987,15.448855,56.141962,40.405996,35.120445,60.451217,16.170987,23.729168,45.961875,74.554384
09/04/2008,20.321801,39.769164,65.359885,61.945798,21.003532,70.172227,35.555907,27.919409,27.651791,159.314905,22.664018,101.163957,16.875839,52.509247,37.565337,24.439501,44.151055,65.744186,30.324418,24.065793,29.860539,15.367932,55.792314,40.529989,34.382618,59.617692,15.624752,23.257814,45.700199,74.62926
10/04/2008,20.739127,39.75152,65.218523,61.579781,21.458773,69.899185,35.990928,28.371912,27.887029,156.030536,23.245566,102.905327,17.395823,52.540932,37.192229,24.660656,44.238182,66.371975,30.894761,24.249057,30.278515,15.390003,55.768476,40.703585,33.755467,60.49331,15.70075,23.135132,46.139138,74.504467
11/04/2008,19.744778,38.278259,63.912989,60.839623,20.869637,69.275088,35.76617,27.313056,24.320524,153.057219,23.073559,100.496869,16.734025,52.279533,36.064419,24.242474,43.881744,64.81903,30.47256,23.557655,29.972898,15.044243,55.625439,40.753181,33.082202,58.540012,15.70075,22.980168,46.257313,73.730719
14/04/2008,19.83066,37.687193,64.212347,61.44151,20.807153,69.665151,35.381897,27.186356,24.092876,149.663057,22.860597,101.605799,16.300706,52.073582,35.191005,24.527963,43.992636,64.645563,30.665144,23.374391,29.689751,15.125165,55.720799,40.505191,33.469562,58.927303,15.598627,22.818747,46.552754,74.62926
15/04/2008,19.911171,38.066535,62.948387,61.774986,20.628628,70.343856,35.476151,27.086805,24.267406,150.221127,22.876979,101.5105,16.474034,52.002294,35.716749,24.503837,44.325312,65.124659,30.531817,23.532664,29.581888,15.235513,55.808211,40.281999,34.345729,59.64295,15.282759,22.670233,47.498158,75.544451
16/04/2008,20.625064,38.595849,63.754992,64.272013,21.27132,71.716877,37.049486,27.439756,24.457114,154.658236,22.950697,104.369465,17.435215,52.041896,38.125001,24.588279,45.291662,66.652831,29.857777,24.115775,29.694247,15.522422,55.360651,40.819314,33.017643,61.150021,15.707874,23.148048,48.173447,77.283302
17/04/2008,20.731077,39.43393,63.954569,64.214817,21.324877,71.763683,37.129239,27.856059,24.29776,157.448583,23.032606,106.630645,17.419459,52.089427,38.260678,24.399292,45.410477,66.619788,29.050409,24.340688,30.359414,15.007459,53.994018,41.092102,33.847697,59.600856,15.921619,23.148048,47.835801,77.690974
18/04/2008,21.610021,40.166147,65.409782,69.681127,21.878307,72.692033,37.716522,28.353811,24.806175,164.611978,23.491291,107.77423,17.766114,52.683513,38.803382,24.170097,46.178801,68.478369,29.450387,24.99044,30.51222,15.058955,53.68233,41.588086,34.35495,61.048992,16.387108,23.264272,47.531923,78.206808
21/04/2008,22.565462,40.316121,65.767343,68.087811,22.217505,72.317571,37.88328,28.471461,24.631645,165.041966,23.737016,107.73091,17.695207,52.533009,38.353955,24.266599,46.471873,68.015785,29.354098,25.340306,30.84031,14.860328,54.185831,40.753181,34.871429,60.695373,16.854972,23.219075,47.591011,78.423127
22/04/2008,21.4973,38.789932,65.326622,67.009257,22.244284,73.355138,36.367948,28.317612,24.532999,164.456452,23.360238,107.14179,17.324916,53.063724,38.710107,24.081635,46.218405,67.057586,28.524508,25.198694,30.575141,14.558708,53.922093,40.331598,31.495882,60.148118,16.6911,23.070561,47.734508,78.531283
23/04/2008,21.858277,39.15163,68.261995,66.74779,22.708451,73.706198,36.237441,28.634363,24.555763,164.081367,23.040795,107.081145,17.773993,53.277599,38.286119,24.254537,46.487715,66.603264,28.605985,26.198312,30.372896,14.624916,53.68233,39.91828,32.030803,60.501731,16.643602,23.457981,48.046829,78.389846
24/04/2008,22.670133,39.857382,69.01871,66.854009,23.235102,72.083537,36.027181,28.905865,24.897237,172.717698,23.687871,107.592297,17.876415,53.364732,39.829435,24.22639,47.192677,65.36421,29.605937,26.489866,30.588624,14.742623,53.410605,41.893941,30.979404,61.208956,17.17084,23.477346,48.49421,77.042025
25/04/2008,22.776137,42.142256,70.54876,67.205356,22.851271,72.309774,36.16494,29.285967,25.291829,175.980675,24.392283,106.630645,17.773993,53.317201,40.524775,23.856461,47.263963,64.282106,30.161465,24.848827,30.894241,15.029529,53.18683,41.505421,31.348317,61.19212,17.835823,23.916422,48.663033,76.925547
28/04/2008,23.112952,42.248118,70.665183,67.842683,22.628114,72.161548,35.657412,29.349318,25.170414,174.367524,24.351328,105.426416,17.892171,53.325124,40.143185,23.715726,47.200597,63.712139,30.69477,24.149095,30.48076,14.882397,52.915098,41.96007,31.025517,61.495219,17.961695,24.504003,48.409797,76.917225
29/04/2008,23.490029,42.35398,71.122532,66.600714,22.770935,73.909026,35.28764,29.647967,24.904824,176.603933,24.048268,106.431381,17.821265,53.222151,39.922713,23.611181,47.683772,63.489112,27.509744,23.85754,30.665031,14.889754,52.667348,41.059036,30.804172,61.554154,19.20854,24.67188,49.473379,76.368117
30/04/2008,23.342423,42.362804,70.565394,66.903032,22.886976,75.009005,35.46165,29.349318,24.813765,175.403234,23.58958,104.568722,17.537637,53.142935,40.406059,23.671495,47.192677,63.522154,28.176379,23.757579,30.022337,14.794119,53.58643,41.662484,30.094015,61.015314,19.8189,24.846217,48.941588,77.43306
01/05/2008,24.154279,45.282857,71.02275,67.287064,23.806383,74.065055,35.4834,30.136671,25.132473,182.442468,24.466,107.089811,18.349128,53.713258,41.762819,23.759957,48.254074,64.298623,28.850419,24.490631,30.476265,15.036886,53.570443,43.109097,30.343032,62.724449,20.282015,25.388601,49.017558,74.62926
02/05/2008,24.280412,44.462419,71.255583,67.654756,23.877793,74.3615,36.150439,30.308624,25.299417,183.56068,24.670771,106.717279,18.577605,54.069713,41.262513,23.631286,48.277839,64.885114,29.161513,24.357349,30.408852,15.161948,53.38663,43.0347,30.868731,63.229611,19.652655,25.562938,48.536415,74.554384
05/05/2008,24.788995,44.48006,71.446836,67.613899,23.458259,74.59554,36.034433,30.127623,25.178004,180.673488,24.056459,105.720973,18.42702,53.784551,40.702849,23.474468,48.21447,64.059079,28.872639,24.224066,30.103235,15.095739,53.266749,42.778442,30.499818,62.825484,20.201266,25.117405,48.089037,74.471187
06/05/2008,25.047979,44.956444,71.638096,68.006104,23.502889,75.570696,35.99818,30.525824,25.041414,181.122611,23.982741,106.405392,18.688564,53.531075,40.872445,23.430237,47.913478,64.232545,28.768941,24.740536,30.372896,15.022173,53.266749,42.50565,30.250801,62.875998,20.787878,25.110947,47.565685,74.937098
