date;price;generatedCoins;fees;activeAddresses;averageDifficulty;paymentCount;medianTxValue(USD);medianFee;blockSize;blockCount
28/04/2013;135.3;4425.0;32.79194181;117984;8974296.01489;130171;49.9800906;0.0005;21597536;177
29/04/2013;134.44;4349.9988;45.72411389;86925;8974296.01489;112426;62.4258911104;0.0005;25676453;174
30/04/2013;144.0;3725.0;45.74865143;76871;9854414.31928;98258;26.94214512;0.0005;27042465;149
01/05/2013;139.0;3775.0;40.88593753;83564;10076292.8834;96129;38.67197952;0.0005;25727393;151
02/05/2013;116.38;3350.0;52.5540039;81920;10076292.8834;101721;35.382348034;0.0005;26388234;134
03/05/2013;106.25;3425.0;45.45884469;82804;10076292.8834;92650;30.81855625;0.0005;24999318;137
04/05/2013;98.1;3975.0;45.66787787;69959;10076292.8834;119009;15.912911853;0.0005;25116891;159
05/05/2013;112.9;4125.0;36.56506628;72103;10076292.8834;103009;22.4671;0.0005;25186659;165
06/05/2013;115.98;4150.0;52.94511009;85164;10076292.8834;114382;25.2534852;0.0005;27088540;166
07/05/2013;112.25;4200.0;46.71463015;109067;10076292.8834;132270;31.9502731375;0.0005;28735146;168
08/05/2013;109.6;4125.0;52.00264132;102388;10076292.8834;131131;35.146677056;0.0005;25837956;165
09/05/2013;113.2;4100.0;65.88905401;81894;10076292.8834;113131;24.136031956;0.0005;31016605;164
10/05/2013;112.8;4300.0;64.27633127;84293;10076292.8834;135760;24.053702112;0.0005;32790392;172
11/05/2013;117.7;4550.0;61.69773114;80910;10076292.8834;122381;21.2621519;0.0005;34695399;182
12/05/2013;115.64;4200.0;56.57452505;69607;10301130.9528;117035;21.849495724;0.001;30605728;168
13/05/2013;114.82;4350.0;58.50963163;82796;11187257.4614;118277;30.1503357888;0.0005;29370446;174
14/05/2013;117.98;3850.0;57.38806322;83723;11187257.4614;115947;26.3183849606;0.0005;31095277;154
15/05/2013;111.4;3524.9995;60.48453576;84715;11187257.4614;115537;33.3086;0.0005;30736977;141
16/05/2013;114.22;3700.0;77.36863781;84113;11187257.4614;132292;28.814759124;0.0005;29768952;148
17/05/2013;118.21;4025.0;55.40377799;78407;11187257.4614;93460;29.5525;0.0005;28015240;161
18/05/2013;123.5;3725.0;39.56532087;68328;11187257.4614;81646;43.16325;0.0005;24964632;149
19/05/2013;123.21;3900.0;47.14334424;64189;11187257.4614;80118;36.1645647012;0.0005;22085086;156
20/05/2013;122.5;3225.0;43.45547937;71628;11187257.4614;102593;59.30372;0.0005;23345555;129
21/05/2013;122.02;3775.0;46.50942757;82536;11187257.4614;98876;71.5072793234;0.0005;26275853;151
22/05/2013;122.89;3900.0;49.88873569;74758;11187257.4614;90777;58.3813523;0.0005;24788215;156
23/05/2013;123.8;4350.0;56.46156491;83223;11187257.4614;94653;61.9;0.0005;28235750;174
24/05/2013;126.3;4225.0;48.33183927;84914;11187257.4614;92399;68.96462466;0.0005;26872166;169
25/05/2013;133.1;4125.0;47.27625949;69588;11450754.0746;79735;41.420505709;0.0005;24588034;165
26/05/2013;131.99;4075.0;31.5289397;69622;12153411.7098;80187;49.7699959401;0.0005;21743445;163
